date,site,plot,transect,segment,plant,total_flowers,notes
6/10/17,Avery Picnic,Manipulated,M2,1,Androsace septentrionalis,15,
6/10/17,Avery Picnic,Manipulated,M2,2,Androsace septentrionalis,67,
6/10/17,Avery Picnic,Manipulated,M2,2,Taraxacum officinale,1,
6/10/17,Avery Picnic,Manipulated,M2,2,Delphinium nuttallianum,5,
6/10/17,Avery Picnic,Manipulated,M2,2,Mertensia fusiformis,22,
6/10/17,Avery Picnic,Manipulated,M2,3,Mertensia fusiformis,24,
6/10/17,Avery Picnic,Manipulated,M2,3,Androsace septentrionalis,8,
6/10/17,Avery Picnic,Manipulated,M2,3,Taraxacum officinale,1,
6/10/17,Avery Picnic,Manipulated,M2,3,Viola praemorsa,1,
6/10/17,Avery Picnic,Manipulated,M2,3,Ranunculus inamoenus,1,
6/10/17,Avery Picnic,Manipulated,M2,4,Viola praemorsa,3,
6/10/17,Avery Picnic,Manipulated,M2,4,Delphinium nuttallianum,1,
6/10/17,Avery Picnic,Manipulated,M2,4,Androsace septentrionalis,7,
6/10/17,Avery Picnic,Manipulated,M2,5,Viola praemorsa,2,
6/10/17,Avery Picnic,Manipulated,M2,5,Ranunculus inamoenus,3,
6/10/17,Avery Picnic,Manipulated,M2,5,Mertensia fusiformis,11,
6/10/17,Avery Picnic,Manipulated,M3,1,Androsace septentrionalis,10,
6/10/17,Avery Picnic,Manipulated,M3,2,Delphinium nuttallianum,3,
6/10/17,Avery Picnic,Manipulated,M3,2,Androsace septentrionalis,32,
6/10/17,Avery Picnic,Manipulated,M3,3,Mertensia fusiformis,15,
6/10/17,Avery Picnic,Manipulated,M3,3,Mertensia fusiformis,8,
6/10/17,Avery Picnic,Manipulated,M3,3,Androsace septentrionalis,2,
6/10/17,Avery Picnic,Manipulated,M3,4,Androsace septentrionalis,4,
6/10/17,Avery Picnic,Manipulated,M3,5,Ranunculus inamoenus,3,
6/10/17,Avery Picnic,Manipulated,M3,5,Taraxacum officinale,5,
6/10/17,Avery Picnic,Manipulated,M3,5,Mertensia fusiformis,12,
6/10/17,Avery Picnic,Control,C1,1,Ranunculus inamoenus,1,
6/10/17,Avery Picnic,Control,C1,2,Mertensia fusiformis,1,
6/10/17,Avery Picnic,Control,C1,3,None,0,
6/10/17,Avery Picnic,Control,C1,4,None,0,
6/10/17,Avery Picnic,Control,C1,5,Mertensia fusiformis,3,
6/10/17,Avery Picnic,Control,C2,1,None,0,
6/10/17,Avery Picnic,Control,C2,2,Viola praemorsa,1,
6/10/17,Avery Picnic,Control,C2,3,Ranunculus inamoenus,2,
6/10/17,Avery Picnic,Control,C2,3,Viola praemorsa,1,
6/10/17,Avery Picnic,Control,C2,4,Ranunculus inamoenus,9,
6/10/17,Avery Picnic,Control,C2,4,Mertensia fusiformis,12,
6/10/17,Avery Picnic,Control,C2,5,Viola praemorsa,2,
6/10/17,Avery Picnic,Control,C2,5,Ranunculus inamoenus,5,
6/10/17,Avery Picnic,Control,C2,5,Mertensia fusiformis,47,
6/10/17,Avery Picnic,Control,C3,1,Ranunculus inamoenus,2,
6/10/17,Avery Picnic,Control,C3,2,None,0,
6/10/17,Avery Picnic,Control,C3,3,Ranunculus inamoenus,7,
6/10/17,Avery Picnic,Control,C3,3,Androsace septentrionalis,53,
6/10/17,Avery Picnic,Control,C3,3,Viola praemorsa,1,
6/10/17,Avery Picnic,Control,C3,4,Viola praemorsa,10,
6/10/17,Avery Picnic,Control,C3,4,Androsace septentrionalis,17,
6/10/17,Avery Picnic,Control,C3,4,Ranunculus inamoenus,8,
6/10/17,Avery Picnic,Control,C3,4,Mertensia fusiformis,58,
6/10/17,Avery Picnic,Control,C3,5,Mertensia fusiformis,90,
6/10/17,Avery Picnic,Control,C3,5,Ranunculus inamoenus,7,
6/10/17,Avery Picnic,Control,C3,5,Viola praemorsa,1,
6/11/17,Pfeiler,Control,C1,1,Erythronium grandiflorum,32,
6/11/17,Pfeiler,Control,C1,1,Claytonia lanceolata,154,
6/11/17,Pfeiler,Control,C1,2,Erythronium grandiflorum,16,
6/11/17,Pfeiler,Control,C1,2,Claytonia lanceolata,138,
6/11/17,Pfeiler,Control,C1,3,Claytonia lanceolata,105,
6/11/17,Pfeiler,Control,C1,3,Erythronium grandiflorum,20,
6/11/17,Pfeiler,Control,C1,4,Claytonia lanceolata,119,
6/11/17,Pfeiler,Control,C1,4,Erythronium grandiflorum,30,
6/11/17,Pfeiler,Control,C1,5,Claytonia lanceolata,79,
6/11/17,Pfeiler,Control,C1,5,Erythronium grandiflorum,17,
6/11/17,Pfeiler,Control,C2,1,Claytonia lanceolata,138,
6/11/17,Pfeiler,Control,C2,1,Erythronium grandiflorum,17,
6/11/17,Pfeiler,Control,C2,2,Claytonia lanceolata,119,
6/11/17,Pfeiler,Control,C2,2,Erythronium grandiflorum,34,
6/11/17,Pfeiler,Control,C2,3,Claytonia lanceolata,99,
6/11/17,Pfeiler,Control,C2,3,Erythronium grandiflorum,15,
6/11/17,Pfeiler,Control,C2,4,Erythronium grandiflorum,14,
6/11/17,Pfeiler,Control,C2,4,Claytonia lanceolata,102,
6/11/17,Pfeiler,Control,C2,5,Claytonia lanceolata,136,
6/11/17,Pfeiler,Control,C2,5,Erythronium grandiflorum,27,
6/11/17,Pfeiler,Control,C3,1,Claytonia lanceolata,145,
6/11/17,Pfeiler,Control,C3,1,Erythronium grandiflorum,23,
6/11/17,Pfeiler,Control,C3,2,Claytonia lanceolata,101,
6/11/17,Pfeiler,Control,C3,2,Erythronium grandiflorum,17,
6/11/17,Pfeiler,Control,C3,3,Claytonia lanceolata,228,
6/11/17,Pfeiler,Control,C3,3,Erythronium grandiflorum,18,
6/11/17,Pfeiler,Control,C3,4,Claytonia lanceolata,146,
6/11/17,Pfeiler,Control,C3,4,Erythronium grandiflorum,21,
6/11/17,Pfeiler,Control,C3,5,Erythronium grandiflorum,27,
6/11/17,Pfeiler,Control,C3,5,Claytonia lanceolata,92,
6/11/17,Pfeiler,Manipulated,M1,1,Claytonia lanceolata,33,
6/11/17,Pfeiler,Manipulated,M1,1,Erythronium grandiflorum,5,
6/11/17,Pfeiler,Manipulated,M1,1,Mertensia fusiformis,28,
6/11/17,Pfeiler,Manipulated,M1,2,Mertensia fusiformis,8,
6/11/17,Pfeiler,Manipulated,M1,2,Claytonia lanceolata,28,
6/11/17,Pfeiler,Manipulated,M1,3,Erythronium grandiflorum,6,
6/11/17,Pfeiler,Manipulated,M1,3,Claytonia lanceolata,58,
6/11/17,Pfeiler,Manipulated,M1,3,Mertensia fusiformis,37,
6/11/17,Pfeiler,Manipulated,M1,4,Claytonia lanceolata,27,
6/11/17,Pfeiler,Manipulated,M1,4,Mertensia fusiformis,18,
6/11/17,Pfeiler,Manipulated,M1,4,Erythronium grandiflorum,3,
6/11/17,Pfeiler,Manipulated,M1,5,Claytonia lanceolata,7,
6/11/17,Pfeiler,Manipulated,M1,5,Erythronium grandiflorum,5,
6/11/17,Pfeiler,Manipulated,M2,1,Erythronium grandiflorum,34,
6/11/17,Pfeiler,Manipulated,M2,1,Claytonia lanceolata,42,
6/11/17,Pfeiler,Manipulated,M2,2,Erythronium grandiflorum,2,
6/11/17,Pfeiler,Manipulated,M2,2,Claytonia lanceolata,68,
6/11/17,Pfeiler,Manipulated,M2,3,Claytonia lanceolata,46,
6/11/17,Pfeiler,Manipulated,M2,3,Erythronium grandiflorum,6,
6/11/17,Pfeiler,Manipulated,M2,4,Claytonia lanceolata,23,
6/11/17,Pfeiler,Manipulated,M2,4,Erythronium grandiflorum,2,
6/11/17,Pfeiler,Manipulated,M2,4,Mertensia fusiformis,19,
6/11/17,Pfeiler,Manipulated,M2,5,Claytonia lanceolata,53,
6/11/17,Pfeiler,Manipulated,M2,5,Erythronium grandiflorum,15,
6/11/17,Pfeiler,Manipulated,M2,5,Mertensia fusiformis,26,
6/11/17,Pfeiler,Manipulated,M3,1,Claytonia lanceolata,29,
6/11/17,Pfeiler,Manipulated,M3,1,Erythronium grandiflorum,31,
6/11/17,Pfeiler,Manipulated,M3,2,Claytonia lanceolata,34,
6/11/17,Pfeiler,Manipulated,M3,2,Mertensia fusiformis,4,
6/11/17,Pfeiler,Manipulated,M3,2,Erythronium grandiflorum,5,
6/11/17,Pfeiler,Manipulated,M3,3,Claytonia lanceolata,8,
6/11/17,Pfeiler,Manipulated,M3,3,Mertensia ciliata,42,
6/11/17,Pfeiler,Manipulated,M3,3,Erythronium grandiflorum,3,
6/11/17,Pfeiler,Manipulated,M3,4,Claytonia lanceolata,31,
6/11/17,Pfeiler,Manipulated,M3,4,Mertensia fusiformis,10,
6/11/17,Pfeiler,Manipulated,M3,4,Erythronium grandiflorum,10,
6/11/17,Pfeiler,Manipulated,M3,5,Claytonia lanceolata,24,
6/11/17,Pfeiler,Manipulated,M3,5,Erythronium grandiflorum,29,
6/13/17,Meridian,Control,C1,1,Ranunculus inamoenus,4,
6/13/17,Meridian,Control,C1,1,Viola praemorsa,6,
6/13/17,Meridian,Control,C1,1,Pseudocymopterus montanus,2,
6/13/17,Meridian,Control,C1,1,Androsace septentrionalis,3,
6/13/17,Meridian,Control,C1,2,Viola praemorsa,7,
6/13/17,Meridian,Control,C1,2,Ranunculus inamoenus,3,
6/13/17,Meridian,Control,C1,3,Ranunculus inamoenus,10,
6/13/17,Meridian,Control,C1,3,Viola praemorsa,2,
6/13/17,Meridian,Control,C1,3,Pseudocymopterus montanus,2,
6/13/17,Meridian,Control,C1,4,Ranunculus inamoenus,6,
6/13/17,Meridian,Control,C1,4,Viola praemorsa,6,
6/13/17,Meridian,Control,C1,4,Pseudocymopterus montanus,2,
6/13/17,Meridian,Control,C1,4,Androsace septentrionalis,4,
6/13/17,Meridian,Control,C1,4,Mertensia fusiformis,11,
6/13/17,Meridian,Control,C1,5,Pseudocymopterus montanus,3,
6/13/17,Meridian,Control,C1,5,Mertensia fusiformis,10,
6/13/17,Meridian,Control,C1,5,Draba aurea,1,
6/13/17,Meridian,Control,C1,5,Viola praemorsa,1,
6/13/17,Meridian,Control,C2,1,Viola praemorsa,2,
6/13/17,Meridian,Control,C2,1,Ranunculus inamoenus,2,
6/13/17,Meridian,Control,C2,1,Mertensia fusiformis,8,
6/13/17,Meridian,Control,C2,1,Pseudocymopterus montanus,1,
6/13/17,Meridian,Control,C2,1,Draba aurea,4,
6/13/17,Meridian,Control,C2,2,Mertensia fusiformis,13,
6/13/17,Meridian,Control,C2,2,Viola praemorsa,1,
6/13/17,Meridian,Control,C2,3,Ranunculus inamoenus,2,
6/13/17,Meridian,Control,C2,3,Pseudocymopterus montanus,1,
6/13/17,Meridian,Control,C2,4,Ranunculus inamoenus,3,
6/13/17,Meridian,Control,C2,4,Viola praemorsa,3,
6/13/17,Meridian,Control,C2,4,Mertensia fusiformis,16,
6/13/17,Meridian,Control,C2,4,Pseudocymopterus montanus,1,
6/13/17,Meridian,Control,C2,5,Viola praemorsa,1,
6/13/17,Meridian,Control,C2,5,Ranunculus inamoenus,3,
6/13/17,Meridian,Control,C2,5,Mertensia fusiformis,1,
6/13/17,Meridian,Control,C2,5,Pseudocymopterus montanus,1,
6/13/17,Meridian,Control,C3,1,Ranunculus inamoenus,12,
6/13/17,Meridian,Control,C3,1,Viola praemorsa,2,
6/13/17,Meridian,Control,C3,1,Pseudocymopterus montanus,1,
6/13/17,Meridian,Control,C3,1,Claytonia lanceolata,8,
6/13/17,Meridian,Control,C3,2,Claytonia lanceolata,15,
6/13/17,Meridian,Control,C3,2,Ranunculus inamoenus,5,
6/13/17,Meridian,Control,C3,2,Mertensia fusiformis,19,
6/13/17,Meridian,Control,C3,2,Viola praemorsa,1,
6/13/17,Meridian,Control,C3,3,Claytonia lanceolata,5,
6/13/17,Meridian,Control,C3,3,Ranunculus inamoenus,4,
6/13/17,Meridian,Control,C3,3,Viola praemorsa,1,
6/13/17,Meridian,Control,C3,4,Ranunculus inamoenus,3,
6/13/17,Meridian,Control,C3,4,Draba aurea,3,
6/13/17,Meridian,Control,C3,4,Pseudocymopterus montanus,,
6/13/17,Meridian,Control,C3,4,Mertensia fusiformis,12,
6/13/17,Meridian,Control,C3,5,Mertensia fusiformis,34,
6/13/17,Meridian,Control,C3,5,Ranunculus inamoenus,5,
6/13/17,Meridian,Control,C3,5,Androsace septentrionalis,6,
6/13/17,Meridian,Control,C3,5,Pseudocymopterus montanus,4,
6/13/17,Meridian,Control,C3,5,Viola praemorsa,1,
6/13/17,Meridian,Manipulated,M1,1,Viola praemorsa,3,
6/13/17,Meridian,Manipulated,M1,2,Draba aurea,17,
6/13/17,Meridian,Manipulated,M1,3,Draba aurea,5,
6/13/17,Meridian,Manipulated,M1,3,Ranunculus inamoenus,4,
6/13/17,Meridian,Manipulated,M1,5,Draba aurea,14,
6/13/17,Meridian,Manipulated,M2,1,Erythronium grandiflorum,1,
6/13/17,Meridian,Manipulated,M2,1,Ranunculus inamoenus,5,
6/13/17,Meridian,Manipulated,M2,1,Draba aurea,9,
6/13/17,Meridian,Manipulated,M2,1,Androsace septentrionalis,5,
6/13/17,Meridian,Manipulated,M2,3,Ranunculus inamoenus,2,
6/13/17,Meridian,Manipulated,M2,3,Viola praemorsa,1,
6/13/17,Meridian,Manipulated,M2,4,Viola praemorsa,1,
6/13/17,Meridian,Manipulated,M2,5,Draba aurea,3,
6/13/17,Meridian,Manipulated,M3,1,Pseudocymopterus montanus,1,
6/13/17,Meridian,Manipulated,M3,2,Draba aurea,6,
6/13/17,Meridian,Manipulated,M3,2,Ranunculus inamoenus,2,
6/13/17,Meridian,Manipulated,M3,3,Viola praemorsa,2,
6/13/17,Meridian,Manipulated,M3,3,Androsace septentrionalis,1,
6/13/17,Meridian,Manipulated,M3,4,Draba aurea,35,
6/13/17,Meridian,Manipulated,M3,4,Ranunculus inamoenus,1,
6/13/17,Meridian,Manipulated,M3,4,Viola praemorsa,1,
6/13/17,Meridian,Manipulated,M3,5,Pseudocymopterus montanus,1,
6/13/17,Meridian,Manipulated,M3,5,Mertensia fusiformis,4,
6/13/17,Meridian,Manipulated,M3,5,Draba aurea,3,
6/13/17,Meridian,Manipulated,M3,5,Androsace septentrionalis,5,
6/14/17,Pfeiler,Manipulated,M1,1,Mertensia fusiformis,64,
6/14/17,Pfeiler,Manipulated,M1,1,Claytonia lanceolata,17,
6/14/17,Pfeiler,Manipulated,M1,1,Viola praemorsa,2,
6/14/17,Pfeiler,Manipulated,M1,2,Mertensia fusiformis,15,
6/14/17,Pfeiler,Manipulated,M1,2,Androsace septentrionalis,5,
6/14/17,Pfeiler,Manipulated,M1,2,Claytonia lanceolata,13,
6/14/17,Pfeiler,Manipulated,M1,2,Viola praemorsa,5,
6/14/17,Pfeiler,Manipulated,M1,3,Mertensia fusiformis,39,
6/14/17,Pfeiler,Manipulated,M1,3,Erythronium grandiflorum,2,
6/14/17,Pfeiler,Manipulated,M1,4,Viola praemorsa,4,
6/14/17,Pfeiler,Manipulated,M1,4,Claytonia lanceolata,12,
6/14/17,Pfeiler,Manipulated,M1,4,Mertensia fusiformis,39,
6/14/17,Pfeiler,Manipulated,M1,5,Mertensia fusiformis,16,
6/14/17,Pfeiler,Manipulated,M1,5,Claytonia lanceolata,3,
6/14/17,Pfeiler,Manipulated,M1,5,Androsace septentrionalis,1,
6/14/17,Pfeiler,Manipulated,C1,1,Claytonia lanceolata,110,
6/14/17,Pfeiler,Manipulated,C1,1,Erythronium grandiflorum,23,
6/14/17,Pfeiler,Manipulated,C1,2,Claytonia lanceolata,112,
6/14/17,Pfeiler,Manipulated,C1,2,Erythronium grandiflorum,15,
6/14/17,Pfeiler,Control,C1,3,Claytonia lanceolata,80,
6/14/17,Pfeiler,Control,C1,3,Erythronium grandiflorum,17,
6/14/17,Pfeiler,Control,C1,4,Claytonia lanceolata,90,
6/14/17,Pfeiler,Control,C1,4,Erythronium grandiflorum,36,
6/14/17,Pfeiler,Control,C1,4,Mertensia fusiformis,2,
6/14/17,Pfeiler,Control,C1,5,Claytonia lanceolata,74,
6/14/17,Pfeiler,Control,C1,5,Erythronium grandiflorum,14,
6/14/17,Pfeiler,Control,C1,5,Mertensia fusiformis,25,
6/14/17,Pfeiler,Manipulated,M3,1,Erythronium grandiflorum,3,
6/14/17,Pfeiler,Manipulated,M3,1,Claytonia lanceolata,33,
6/14/17,Pfeiler,Manipulated,M3,1,Mertensia fusiformis,40,
6/14/17,Pfeiler,Manipulated,M3,2,Viola praemorsa,3,
6/14/17,Pfeiler,Manipulated,M3,2,Mertensia fusiformis,13,
6/14/17,Pfeiler,Manipulated,M3,2,Claytonia lanceolata,6,
6/14/17,Pfeiler,Manipulated,M3,3,Claytonia lanceolata,14,
6/14/17,Pfeiler,Manipulated,M3,3,Mertensia fusiformis,65,
6/14/17,Pfeiler,Manipulated,M3,4,Erythronium grandiflorum,1,
6/14/17,Pfeiler,Manipulated,M3,4,Mertensia fusiformis,56,
6/14/17,Pfeiler,Manipulated,M3,4,Claytonia lanceolata,16,
6/14/17,Pfeiler,Manipulated,M3,5,Mertensia fusiformis,21,
6/14/17,Pfeiler,Manipulated,M3,5,Claytonia lanceolata,9,
6/14/17,Pfeiler,Manipulated,M3,5,Androsace septentrionalis,1,
6/14/17,Pfeiler,Manipulated,M2,1,Erythronium grandiflorum,14,
6/14/17,Pfeiler,Manipulated,M2,1,Claytonia lanceolata,41,
6/14/17,Pfeiler,Manipulated,M2,2,Claytonia lanceolata,46,
6/14/17,Pfeiler,Manipulated,M2,2,Viola praemorsa,1,
6/14/17,Pfeiler,Manipulated,M2,2,Androsace septentrionalis,3,
6/14/17,Pfeiler,Manipulated,M2,3,Mertensia fusiformis,14,
6/14/17,Pfeiler,Manipulated,M2,3,Claytonia lanceolata,32,
6/14/17,Pfeiler,Manipulated,M2,3,Androsace septentrionalis,3,
6/14/17,Pfeiler,Manipulated,M2,4,Claytonia lanceolata,29,
6/14/17,Pfeiler,Manipulated,M2,4,Mertensia fusiformis,62,
6/14/17,Pfeiler,Manipulated,M2,5,Claytonia lanceolata,45,
6/14/17,Pfeiler,Manipulated,M2,5,Mertensia fusiformis,17,
6/14/17,Pfeiler,Manipulated,M2,5,Erythronium grandiflorum,3,
6/14/17,Pfeiler,Manipulated,M2,5,Androsace septentrionalis,1,
6/14/17,Pfeiler,Control,C3,1,Claytonia lanceolata,104,
6/14/17,Pfeiler,Control,C3,1,Erythronium grandiflorum,9,
6/14/17,Pfeiler,Control,C3,1,Mertensia fusiformis,1,
6/14/17,Pfeiler,Control,C3,2,Claytonia lanceolata,96,
6/14/17,Pfeiler,Control,C3,2,Erythronium grandiflorum,11,
6/14/17,Pfeiler,Control,C3,3,Erythronium grandiflorum,24,
6/14/17,Pfeiler,Control,C3,3,Claytonia lanceolata,93,
6/14/17,Pfeiler,Control,C3,4,Erythronium grandiflorum,144,
6/14/17,Pfeiler,Control,C3,4,Claytonia lanceolata,94,
6/14/17,Pfeiler,Control,C3,4,Mertensia fusiformis,7,
6/14/17,Pfeiler,Control,C3,5,Claytonia lanceolata,73,
6/14/17,Pfeiler,Control,C3,5,Erythronium grandiflorum,21,
6/14/17,Pfeiler,Control,C3,5,Mertensia fusiformis,8,
6/14/17,Pfeiler,Control,C2,1,Claytonia lanceolata,76,
6/14/17,Pfeiler,Control,C2,1,Erythronium grandiflorum,12,
6/14/17,Pfeiler,Control,C2,2,Erythronium grandiflorum,26,
6/14/17,Pfeiler,Control,C2,2,Claytonia lanceolata,83,
6/14/17,Pfeiler,Control,C2,3,Claytonia lanceolata,82,
6/14/17,Pfeiler,Control,C2,3,Erythronium grandiflorum,13,
6/14/17,Pfeiler,Control,C2,4,Claytonia lanceolata,56,
6/14/17,Pfeiler,Control,C2,4,Erythronium grandiflorum,10,
6/14/17,Pfeiler,Control,C2,5,Erythronium grandiflorum,23,
6/14/17,Pfeiler,Control,C2,5,Claytonia lanceolata,75,
6/15/17,Avery Picnic,Control,C1,1,Ranunculus inamoenus,6,
6/15/17,Avery Picnic,Control,C1,1,Androsace septentrionalis,20,
6/15/17,Avery Picnic,Control,C1,2,Mertensia fusiformis,3,
6/15/17,Avery Picnic,Control,C1,2,Viola praemorsa,2,
6/15/17,Avery Picnic,Control,C1,2,Pseudocymopterus montanus,3,
6/15/17,Avery Picnic,Control,C1,3,Viola praemorsa,2,
6/15/17,Avery Picnic,Control,C1,3,Pseudocymopterus montanus,1,
6/15/17,Avery Picnic,Control,C1,3,Mertensia fusiformis,1,
6/15/17,Avery Picnic,Control,C1,3,Ranunculus inamoenus,1,
6/15/17,Avery Picnic,Control,C1,4,Mertensia fusiformis,21,
6/15/17,Avery Picnic,Control,C1,4,Viola praemorsa,2,
6/15/17,Avery Picnic,Control,C1,4,Ranunculus inamoenus,3,
6/15/17,Avery Picnic,Control,C1,5,Androsace septentrionalis,26,
6/15/17,Avery Picnic,Control,C1,5,Ranunculus inamoenus,3,
6/15/17,Avery Picnic,Control,C2,1,Mertensia fusiformis,4,
6/15/17,Avery Picnic,Control,C2,2,Viola praemorsa,1,
6/15/17,Avery Picnic,Control,C2,3,Ranunculus inamoenus,1,
6/15/17,Avery Picnic,Control,C2,3,Viola praemorsa,1,
6/15/17,Avery Picnic,Control,C2,4,Ranunculus inamoenus,1,
6/15/17,Avery Picnic,Control,C2,4,Mertensia fusiformis,13,
6/15/17,Avery Picnic,Control,C2,4,Viola praemorsa,1,
6/15/17,Avery Picnic,Control,C2,5,Viola praemorsa,5,
6/15/17,Avery Picnic,Control,C2,5,Mertensia fusiformis,29,
6/15/17,Avery Picnic,Control,C2,5,Ranunculus inamoenus,5,
6/15/17,Avery Picnic,Control,C2,5,Androsace septentrionalis,12,
6/15/17,Avery Picnic,Control,C3,2,Ranunculus inamoenus,1,
6/15/17,Avery Picnic,Control,C3,3,Androsace septentrionalis,42,
6/15/17,Avery Picnic,Control,C3,4,Androsace septentrionalis,14,
6/15/17,Avery Picnic,Control,C3,4,Taraxacum officinale,3,
6/15/17,Avery Picnic,Control,C3,4,Ranunculus inamoenus,1,
6/15/17,Avery Picnic,Control,C3,4,Viola praemorsa,1,
6/15/17,Avery Picnic,Control,C3,4,Mertensia fusiformis,22,
6/15/17,Avery Picnic,Control,C3,5,Taraxacum officinale,1,
6/15/17,Avery Picnic,Control,C3,5,Mertensia fusiformis,20,
6/15/17,Avery Picnic,Control,C3,5,Androsace septentrionalis,15,
6/15/17,Avery Picnic,Control,C3,5,Viola praemorsa,2,
6/15/17,Avery Picnic,Control,C3,5,Ranunculus inamoenus,1,
6/15/17,Avery Picnic,Manipulated,M1,1,Delphinium nuttallianum,39,
6/15/17,Avery Picnic,Manipulated,M1,1,Taraxacum officinale,3,
6/15/17,Avery Picnic,Manipulated,M1,1,Lathyrus leucanthus,1,
6/15/17,Avery Picnic,Manipulated,M1,1,Androsace septentrionalis,1,
6/15/17,Avery Picnic,Manipulated,M1,1,Mertensia fusiformis,6,
6/15/17,Avery Picnic,Manipulated,M1,2,Delphinium nuttallianum,30,
6/15/17,Avery Picnic,Manipulated,M1,2,Taraxacum officinale,2,
6/15/17,Avery Picnic,Manipulated,M1,2,Androsace septentrionalis,17,
6/15/17,Avery Picnic,Manipulated,M1,2,Lathyrus leucanthus,3,
6/15/17,Avery Picnic,Manipulated,M1,3,Delphinium nuttallianum,34,
6/15/17,Avery Picnic,Manipulated,M1,3,Androsace septentrionalis,29,
6/15/17,Avery Picnic,Manipulated,M1,3,Lathyrus leucanthus,12,
6/15/17,Avery Picnic,Manipulated,M1,3,Mertensia fusiformis,6,
6/15/17,Avery Picnic,Manipulated,M1,4,Delphinium nuttallianum,13,
6/15/17,Avery Picnic,Manipulated,M1,4,Lathyrus leucanthus,11,
6/15/17,Avery Picnic,Manipulated,M1,4,Androsace septentrionalis,3,
6/15/17,Avery Picnic,Manipulated,M1,5,Delphinium nuttallianum,35,
6/15/17,Avery Picnic,Manipulated,M1,5,Lathyrus leucanthus,16,
