"","site","plot.treat","plot.orient","species","grid","treat","bloom.start","bloom.end","flowers","flower.dev","dev.seed","seed.weight","X","X.1","total.seeds","start.estimate","end.estimate","soil.moist.quad","midpoint","julian.midpoint","relative.position"
"148","AveryPicnic","control","south","Mertensia","I","open","6/21/19","7/5/19",48,33,119,0.084,NA,NA,132,2019-06-19,2019-07-04,"30",2019-06-24,174,-7
"149","AveryPicnic","control","south","Mertensia","L","open","6/19/19","7/5/19",32,32,90,0.069,NA,NA,128,2019-06-19,2019-07-04,"30",2019-06-24,174,-7
"150","AveryPicnic","control","south","Mertensia","H","open","6/25/19","7/10/19",52,32,96,0.073,NA,NA,128,2019-06-25,2019-07-10,"12",2019-06-30,180,-1
"151","AveryPicnic","control","south","Mertensia","K","open","6/25/19","7/10/19",43,17,41,0.025,NA,NA,68,2019-06-25,2019-07-10,"1",2019-06-30,180,-1
"152","AveryPicnic","control","south","Mertensia","A","open","6/21/19","7/10/19",55,23,81,0.055,NA,NA,92,2019-06-19,2019-07-10,"1",2019-06-26,176,-5
"153","AveryPicnic","control","south","Mertensia","M","open-hand","6/21/19","7/2/19",21,4,10,0.008,NA,NA,16,2019-06-19,2019-07-01,"30",2019-06-23,173,-8
"154","AveryPicnic","control","south","Mertensia","M","open-hand","6/21/19","7/5/19",24,15,39,0.027,NA,NA,60,2019-06-19,2019-07-04,"30",2019-06-24,174,-7
"155","AveryPicnic","control","south","Mertensia","I","open-hand","6/21/19","7/2/19",16,10,28,0.023,NA,NA,40,2019-06-19,2019-07-01,"30",2019-06-23,173,-8
"156","AveryPicnic","control","south","Mertensia","K","open-hand","6/21/19","7/10/19",28,13,29,0.022,NA,NA,52,2019-06-19,2019-07-10,"30",2019-06-26,176,-5
"157","AveryPicnic","control","south","Mertensia","E","open-hand","6/21/19","7/5/19",16,4,16,0.009,NA,NA,16,2019-06-19,2019-07-04,"30",2019-06-24,174,-7
"158","AveryPicnic","control","south","Mertensia","E","open-hand","6/25/19","7/16/19",44,11,29,0.018,NA,NA,44,2019-06-25,2019-07-16,"6",2019-07-02,182,1
"159","AveryPicnic","control","south","Mertensia","C","open-hand","","7/10/19",33,20,74,0.04,NA,NA,80,NA,2019-07-10,"1",NA,NA,NA
"160","AveryPicnic","control","south","Mertensia","L","open-hand","6/25/19","7/10/19",43,25,80,0.036,NA,NA,100,2019-06-25,2019-07-10,"1",2019-06-30,180,-1
"1","StupidFalls","manip","south","Mertensia","N","open-hand","6/6/19","6/28/19",44,12,27,0.01,NA,NA,48,2019-06-04,2019-06-28,"12",2019-06-12,162,-8
"2","StupidFalls","manip","south","Mertensia","F","open-hand","6/6/19","7/2/19",49,17,44,0.02,NA,NA,68,2019-06-04,2019-07-01,"15",2019-06-13,163,-7
"3","StupidFalls","manip","south","Mertensia","J","open-hand","6/6/19","7/8/19",57,16,41,0.018,NA,NA,64,2019-06-04,2019-07-07,"15",2019-06-15,165,-5
"4","StupidFalls","manip","south","Mertensia","E","open-hand","6/11/19","7/2/19",44,8,20,0.013,NA,NA,32,2019-06-10,2019-07-01,"12",2019-06-17,167,-3
"5","StupidFalls","manip","south","Mertensia","A","open-hand","6/11/19","7/2/19",30,2,6,0.001,NA,NA,8,2019-06-10,2019-07-01,"12",2019-06-17,167,-3
"6","StupidFalls","manip","south","Mertensia","M","open-hand","6/11/19","7/2/19",78,27,83,0.052,NA,NA,108,2019-06-10,2019-07-01,"12",2019-06-17,167,-3
"7","StupidFalls","manip","south","Mertensia","K","open-hand","6/11/19","7/5/19",48,11,26,0.014,NA,NA,44,2019-06-10,2019-07-04,"15",2019-06-18,168,-2
"8","StupidFalls","manip","south","Mertensia","B","open-hand","6/11/19","6/28/19",22,4,10,0.008,NA,NA,16,2019-06-10,2019-06-28,"15",2019-06-16,166,-4
"9","StupidFalls","manip","south","Mertensia","M","open","6/6/19","7/5/19",65,24,52,0.017,NA,NA,96,2019-06-04,2019-07-04,"1",2019-06-14,164,-6
"10","StupidFalls","manip","south","Mertensia","G","open","6/6/19","7/5/19",45,13,23,0.02,NA,NA,52,2019-06-04,2019-07-04,"12",2019-06-14,164,-6
"11","StupidFalls","manip","south","Mertensia","H","open","6/6/19","7/5/19",85,32,69,0.029,NA,NA,128,2019-06-04,2019-07-04,"12",2019-06-14,164,-6
"12","StupidFalls","manip","south","Mertensia","O","open","6/6/19","7/5/19",77,22,38,0.017,NA,NA,88,2019-06-04,2019-07-04,"6",2019-06-14,164,-6
"13","StupidFalls","manip","south","Mertensia","O","open","6/11/19","7/5/19",35,6,3,0,NA,NA,24,2019-06-10,2019-07-04,"12",2019-06-18,168,-2
"14","StupidFalls","manip","south","Mertensia","F","open","6/11/19","7/5/19",33,12,22,0.009,NA,NA,48,2019-06-10,2019-07-04,"12",2019-06-18,168,-2
"15","StupidFalls","manip","south","Mertensia","B","open","6/11/19","6/28/19",39,6,9,0.001,NA,NA,24,2019-06-10,2019-06-28,"12",2019-06-16,166,-4
"16","StupidFalls","manip","south","Mertensia","B","open","6/11/19","7/5/19",19,0,0,0,NA,NA,0,2019-06-10,2019-07-04,"15",2019-06-18,168,-2
"17","StupidFalls","control","north","Mertensia","N","open","6/18/19","6/28/19",67,12,23,0.012,NA,NA,48,2019-06-16,2019-06-28,"1",2019-06-20,170,0
"18","StupidFalls","control","north","Mertensia","E","open","6/18/19","7/5/19",89,5,18,0.01,NA,NA,20,2019-06-16,2019-07-04,"1",2019-06-22,172,2
"19","StupidFalls","control","north","Mertensia","P","open","6/18/19","7/5/19",39,3,10,0.006,NA,NA,12,2019-06-16,2019-07-04,"12",2019-06-22,172,2
"20","StupidFalls","control","north","Mertensia","H","open","6/18/19","7/5/19",46,3,12,0.01,NA,NA,12,2019-06-16,2019-07-04,"12",2019-06-22,172,2
"21","StupidFalls","control","north","Mertensia","H","open","6/18/19","7/5/19",72,21,70,0.042,NA,NA,84,2019-06-16,2019-07-04,"18",2019-06-22,172,2
"22","StupidFalls","control","north","Mertensia","K","open","6/18/19","7/5/19",23,7,19,0.018,NA,NA,28,2019-06-16,2019-07-04,"24",2019-06-22,172,2
"23","StupidFalls","control","north","Mertensia","L","open","6/18/19","7/5/19",24,2,2,0,NA,NA,8,2019-06-16,2019-07-04,"24",2019-06-22,172,2
"24","StupidFalls","control","north","Mertensia","N","open","6/18/19","7/5/19",25,2,6,0.001,NA,NA,8,2019-06-16,2019-07-04,"30",2019-06-22,172,2
"25","StupidFalls","control","north","Mertensia","P","open-hand","6/18/19","7/2/19",18,4,12,0.009,NA,NA,16,2019-06-16,2019-07-01,"1",2019-06-21,171,1
"26","StupidFalls","control","north","Mertensia","I","open-hand","6/18/19","7/5/19",70,20,66,0.05,NA,NA,80,2019-06-16,2019-07-04,"1",2019-06-22,172,2
"27","StupidFalls","control","north","Mertensia","E","open-hand","6/18/19","6/28/19",20,6,11,0.012,NA,NA,24,2019-06-16,2019-06-28,"12",2019-06-20,170,0
"28","StupidFalls","control","north","Mertensia","C","open-hand","6/18/19","7/5/19",37,4,13,0.006,NA,NA,16,2019-06-16,2019-07-04,"12",2019-06-22,172,2
"29","StupidFalls","control","north","Mertensia","P","open-hand","6/18/19","7/5/19",35,2,5,0,NA,NA,8,2019-06-16,2019-07-04,"18",2019-06-22,172,2
"30","StupidFalls","control","north","Mertensia","M","open-hand","6/18/19","7/5/19",44,14,36,0.034,NA,NA,56,2019-06-16,2019-07-04,"24",2019-06-22,172,2
"31","StupidFalls","control","north","Mertensia","K","open-hand","6/18/19","7/5/19",53,16,51,0.034,NA,NA,64,2019-06-16,2019-07-04,"24",2019-06-22,172,2
"32","StupidFalls","control","north","Mertensia","E","open-hand","6/18/19","7/5/19",26,9,17,0.016,NA,NA,36,2019-06-16,2019-07-04,"30",2019-06-22,172,2
"33","WG3C","manip","south","Mertensia","B","open-hand","6/13/19","7/3/19",35,5,14,0.008,NA,NA,20,2019-06-13,2019-07-01,"18",2019-06-19,169,-8
"34","WG3C","manip","south","Mertensia","P","open-hand","6/13/19","7/1/19",44,11,24,0.008,NA,NA,44,2019-06-13,2019-07-01,"18",2019-06-19,169,-8
"35","WG3C","manip","south","Mertensia","F","open-hand","6/13/19","6/27/19",10,3,7,0.001,NA,NA,12,2019-06-13,2019-06-25,"18",2019-06-17,167,-10
"36","WG3C","manip","south","Mertensia","G","open-hand","6/13/19","7/1/19",36,6,19,0.01,NA,NA,24,2019-06-13,2019-07-01,"18",2019-06-19,169,-8
"37","WG3C","manip","south","Mertensia","M","open-hand","6/13/19","7/3/19",49,8,14,0.008,NA,NA,32,2019-06-13,2019-07-01,"24",2019-06-19,169,-8
"38","WG3C","manip","south","Mertensia","L","open-hand","6/13/19","6/27/19",22,6,12,0,NA,NA,24,2019-06-13,2019-06-25,"24",2019-06-17,167,-10
"39","WG3C","manip","south","Mertensia","F","open-hand","6/13/19","7/3/19",35,15,21,0.009,NA,NA,60,2019-06-13,2019-07-01,"30",2019-06-19,169,-8
"40","WG3C","manip","south","Mertensia","I","open-hand","6/13/19","7/3/19",70,12,30,0.013,NA,NA,48,2019-06-13,2019-07-01,"30",2019-06-19,169,-8
"41","WG3C","manip","south","Mertensia","G","open","6/17/19","7/3/19",25,0,0,0,NA,NA,0,2019-06-16,2019-07-01,"18",2019-06-21,171,-6
"42","WG3C","manip","south","Mertensia","E","open","6/13/19","7/3/19",26,7,14,0.006,NA,NA,28,2019-06-13,2019-07-01,"18",2019-06-19,169,-8
"43","WG3C","manip","south","Mertensia","K","open","6/13/19","7/3/19",42,10,26,0.005,NA,NA,40,2019-06-13,2019-07-01,"24",2019-06-19,169,-8
"44","WG3C","manip","south","Mertensia","M","open","6/17/19","7/3/19",25,2,7,0.006,NA,NA,8,2019-06-16,2019-07-01,"24",2019-06-21,171,-6
"45","WG3C","manip","south","Mertensia","J","open","6/13/19","7/3/19",42,7,20,0.006,NA,NA,28,2019-06-13,2019-07-01,"30",2019-06-19,169,-8
"46","WG3C","manip","south","Mertensia","F","open","6/17/19","7/9/19",17,1,2,0,NA,NA,4,2019-06-16,2019-07-07,"30",2019-06-23,173,-4
"47","WG3C","manip","south","Mertensia","O","open","6/13/19","7/3/19",21,1,1,0,NA,NA,4,2019-06-13,2019-07-01,"30",2019-06-19,169,-8
"48","WG3C","manip","south","Mertensia","G","open","6/17/19","7/3/19",16,7,19,0.01,NA,NA,28,2019-06-16,2019-07-01,"24",2019-06-21,171,-6
"49","WG3C","control","north","Mertensia","M","open-hand","6/20/19","7/9/19",26,10,25,0.019,NA,NA,40,2019-06-19,2019-07-07,"30",2019-06-25,175,-2
"50","WG3C","control","north","Mertensia","B","open-hand","6/20/19","7/11/19",48,10,29,0.011,NA,NA,40,2019-06-19,2019-07-10,"30",2019-06-26,176,-1
"51","WG3C","control","north","Mertensia","K","open-hand","6/27/19","7/9/19",66,20,48,0.031,NA,NA,80,2019-06-25,2019-07-07,"15",2019-06-29,179,2
"52","WG3C","control","north","Mertensia","I","open-hand","6/27/19","7/11/19",50,5,18,0.01,NA,NA,20,2019-06-25,2019-07-10,"15",2019-06-30,180,3
"53","WG3C","control","north","Mertensia","K","open-hand","6/17/19","7/9/19",46,7,26,0.02,NA,NA,28,2019-06-16,2019-07-07,"1",2019-06-23,173,-4
"54","WG3C","control","north","Mertensia","F","open-hand","6/17/19","7/9/19",41,15,41,0.032,NA,NA,60,2019-06-16,2019-07-07,"1",2019-06-23,173,-4
"55","WG3C","control","north","Mertensia","E","open-hand","6/27/19","7/9/19",41,11,38,0.015,NA,NA,44,2019-06-25,2019-07-07,"12",2019-06-29,179,2
"56","WG3C","control","north","Mertensia","M","open-hand","6/20/19","7/9/19",49,15,56,0.023,NA,NA,60,2019-06-19,2019-07-07,"12",2019-06-25,175,-2
"57","WG3C","control","north","Mertensia","P","open","6/20/19","",44,6,18,0.007,NA,NA,24,2019-06-19,NA,"30",NA,NA,NA
"58","WG3C","control","north","Mertensia","C","open","6/20/19","7/9/19",35,3,11,0.008,NA,NA,12,2019-06-19,2019-07-07,"30",2019-06-25,175,-2
"59","WG3C","control","north","Mertensia","L","open","6/27/19","7/9/19",19,9,32,0.014,NA,NA,36,2019-06-25,2019-07-07,"15",2019-06-29,179,2
"60","WG3C","control","north","Mertensia","B","open","6/27/19","7/9/19",17,0,0,0,NA,NA,0,2019-06-25,2019-07-07,"15",2019-06-29,179,2
"61","WG3C","control","north","Mertensia","L","open","6/17/19","7/3/19",16,0,0,0,NA,NA,0,2019-06-16,2019-07-01,"1",2019-06-21,171,-6
"62","WG3C","control","north","Mertensia","E","open","6/17/19","7/9/19",30,4,7,0.001,NA,NA,16,2019-06-16,2019-07-07,"1",2019-06-23,173,-4
"63","WG3C","control","north","Mertensia","E","open","6/27/19","7/11/19",17,8,19,0.013,NA,NA,32,2019-06-25,2019-07-10,"12",2019-06-30,180,3
"64","WG3C","control","north","Mertensia","M","open","6/17/19","7/9/19",42,6,21,0.009,NA,NA,24,2019-06-16,2019-07-07,"12",2019-06-23,173,-4
